picnicgrove_id,preserve_name,grove,capacity,large_capacity,grove_type,location,accessible,parking_to_shelter,shelter_to_bathroom,bathroom_type,poi_info_id
"73",Columbia Woods,"1","350",no,shelter,"Village of Willow Springs, IL","0",,,,"376"
"74",Bunker Hill,"7","300",no,shelter,"Village of  Niles, IL","0",,,,"282"
"75",Bunker Hill,"6","300",no,shelter,"Village of  Niles, IL","0",,,,"282"
"76",Bunker Hill,"5","350",no,shelter,"Village of  Niles, IL","1","315","500",indoor,"282"
"77",Bunker Hill,"4","300",no,shelter,"Village of  Niles, IL","0",,,,"282"
"78",Bunker Hill,"3","300",no,shelter,"Village of  Niles, IL","1","292","250",portable,"282"
"79",Bunker Hill,"2","200",no,shelter,"Village of  Niles, IL","0",,,,"282"
"80",Dixmoor Playfield,"1","150",no,shelter,"Village of Dixmoor, IL","0",,,,"20"
"81",Fullerton Woods,"1","200",no,shelter,"Village of River Grove, IL","0",,,,"227"
"82",Evans Field,"1","300",no,shelter,"Village of River Grove, IL","0",,,,"229"
"83",Sunset Bridge Meadow,"1","250",no,shelter,"Village of River Grove, IL","1","350","295",indoor,"230"
"85",Dam No. 2 Woods,"1","250",no,shelter,"Wheeling Twp, IL","0",,,,"341"
"86",Dam No. 4 Woods-East,"2","200",no,shelter,"City of Park Ridge, IL","1","150","135",portable,"212"
"87",Schiller Woods-West,"2","150",no,shelter,"Village of Schiller Park, IL","0",,,,"218"
"88",Schiller Woods-East,"10","300",no,shelter,"Village of Schiller Park, IL","0",,,,"221"
"89",Wayside Woods,"1","150",no,shelter,"Village of Morton Grove, IL","0",,,,"278"
"90",Linne Woods,"2","200",no,shelter,"Village of Morton Grove, IL","0",,,,"277"
"91",Linne Woods,"1","300",no,shelter,"Village of Morton Grove, IL","0",,,,"277"
"92",St. Paul Woods,"1","250",yes,shelter,"Village of Morton Grove, IL","0",,,,"279"
"93",St. Paul Woods,"2","100",yes,shelter,"Village of Morton Grove, IL","0",,,,"279"
"94",St. Paul Woods,"3","100",yes,shelter,"Village of Morton Grove, IL","0",,,,"279"
"95",St. Paul Woods,"4","350",yes,shelter,"Village of Morton Grove, IL","1","135","125",portable,"279"
"96",Miami Woods,"1","200",no,shelter,"Village of Morton Grove, IL","0",,,,"280"
"97",Thatcher Woods,"2","100",no,shelter,"Village of River Forest, IL","0",,,,"232"
"98",Possum Hollow Woods,"1","200",no,shelter,"Village of Westchester, IL","0",,,,"248"
"100",Green Lake Woods,"1","100",yes,no shelter,"Calumet City, IL","0",,,,"153"
"101",Green Lake Woods,"2","100",yes,no shelter,"Calumet City, IL","0",,,,"153"
"102",Green Lake Woods,"3","100",yes,no shelter,"Calumet City, IL","0",,,,"153"
"103",Green Lake Woods,"4","350",yes,no shelter,"Calumet City, IL","0",,,,"153"
"104",Miller Meadow-North,"1","100",yes,no shelter,"Maywood, IL","0",,,,"236"
"105",Miller Meadow-North,"3","100",yes,no shelter,"Maywood, IL","0",,,,"236"
"106",Miller Meadow-South,"7","100",yes,no shelter,"Maywood, IL","0",,,,"237"
"107",Miller Meadow-South,"8","100",yes,no shelter,"Maywood, IL","0",,,,"237"
"109",Busse Forest-South,"8","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"110",Busse Forest-South,"7","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"111",Busse Forest-South,"9","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"112",Busse Forest-South,"10","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"113",Busse Forest-South,"13","100",yes,no shelter,"Elk Grove Village, IL","0",,,,"31"
"114",Sauk Trail Woods-South,"6","100",no,no shelter,"Village of South Chicago Heights, IL","0",,,,"170"
"116",Iroquois Woods,"1","100",no,no shelter,"Maine Twp, IL","0",,,,"208"
"117",Lansing Woods,"1","200",no,no shelter,"Bloom Twp, IL","0",,,,"165"
"118",Lansing Woods,"2","200",no,no shelter,"Bloom Twp, IL","0",,,,"165"
